Open,High,Low,Close,Volume,Pct_change,MA,EMA,OBV,MACD,Signal,PSAR,gold_close,EPU,GPRD
11.4006,11.8504,11.4006,11.6636,11373100.0,-0.04596374101682443,11.292169333333334,10.518888297103654,135424619.0,0.6093270675358422,0.8129848054731406,12.427994850051165,1222.199951171875,30.46,156.7049102783203
11.6306,11.6888,11.3988,11.5989,8682620.0,0.022808786775989853,11.398776333333332,10.592740665032451,146797719.0,0.5859308628192537,0.7675740169423633,12.271855856049118,1222.199951171875,30.46,156.7049102783203
11.6283,11.7064,11.5087,11.6183,5580550.0,-0.005547172399602229,11.475601333333334,10.65765417051423,138115099.0,0.5557619746473499,0.7252116084833606,12.121962421807153,1222.199951171875,61.05,88.50371551513672
11.6158,11.6158,11.0163,11.1573,9599070.0,0.0016725723991066754,11.516011333333331,10.719631320803636,143695649.0,0.5273394899013031,0.6856371847669491,11.978064724934866,1222.199951171875,100.09,105.79058837890625
11.2125,11.2125,10.1347,10.4381,20557300.0,-0.03967878261019253,11.521131333333333,10.747868009784048,134096579.0,0.4622866657851521,0.6409670809705897,11.839922935937471,1218.0,38.89,113.1427230834961
10.4498,10.97,10.2773,10.6854,16997100.0,-0.06446003961531899,11.489638000000001,10.727882976894755,113539279.0,0.3486790495598502,0.5825094746884418,11.707306818499973,1228.4000244140625,25.71,89.26080322265625
10.6952,10.8097,9.95363,10.0697,13464500.0,0.023692051235377987,11.527397,10.725142139675738,130536379.0,0.2754243183342133,0.5210924434175961,11.6158,1222.5,36.17,101.51417541503906
10.0774,10.3875,9.65558,9.71959,14660600.0,-0.057620678683062865,11.534813333333334,10.682855550019237,117071879.0,0.16577660220775492,0.4500292751756279,11.4921488,1236.199951171875,28.9,93.87843322753906
9.69423,10.0889,9.06814,9.15062,16194800.0,-0.03476866242291221,11.462199666666665,10.620709385501867,102411279.0,0.050052077012294305,0.3700338355429612,11.373443648,1242.5,30.25,46.477352142333984
9.14985,9.22472,7.45564,8.93634,42613400.0,-0.05853847744606511,11.390386999999999,10.525864909017876,86216479.0,-0.08657360030052885,0.27871234837426323,11.25948670208,1242.5,19.81,44.5455322265625
8.94278,8.94664,8.00318,8.64379,15138100.0,-0.02341699250979723,11.318838333333334,10.42331491488769,43603079.0,-0.20972347739404462,0.18102518322060168,11.1500880339968,1242.5,66.3,69.59175872802734
8.63947,8.63947,7.15416,7.44231,23190100.0,-0.03273711609003238,11.155854666666666,10.30850685586268,28464979.0,-0.327155734633763,0.07938899964972874,10.928421151956993,1256.699951171875,101.11,95.73894500732422
7.44136,8.71977,7.06922,8.04442,31403300.0,-0.13899921215115119,10.921431666666667,10.12359092967799,5274879.0,-0.5112773523043828,-0.03874427074109356,10.720054282839573,1259.4000244140625,34.46,79.82090759277344
8.07517,8.75704,8.02152,8.38724,13590700.0,0.08090364416424478,10.774492333333333,9.989450869698764,36678179.0,-0.6016740914787473,-0.15133023488862432,10.434782740212407,1246.800048828125,37.74,97.70214080810547
8.38606,8.6162,8.09733,8.24278,12179000.0,0.04261587535210731,10.620400333333333,9.886082426492392,50268879.0,-0.6382935983364,-0.24872290757817947,10.098226466191166,1225.0,21.42,96.78153228759766
8.23588,8.64976,8.11444,8.6095,9888460.0,-0.017223782793863163,10.477796333333334,9.780062915105788,38089879.0,-0.6712339686854261,-0.3332251197996288,9.79532581957205,1233.0999755859375,52.17,86.41481018066406
8.62319,9.702,8.56078,9.3091,24619600.0,0.04448984444568471,10.395396333333334,9.704542727034449,47978339.0,-0.6601385441020682,-0.3986078046601167,9.522715237614845,1233.0999755859375,82.72,55.63744354248047
9.33273,9.50666,8.49687,9.036,21084100.0,0.08125907427841339,10.339096333333334,9.679030293032227,72597939.0,-0.5881140542535448,-0.43650905457880235,7.06922,1233.0999755859375,127.3,64.11421203613281
9.07533,9.30624,8.59546,8.71488,12899100.0,-0.02933688541319801,10.289273000000001,9.63754446767531,51513839.0,-0.5467682111613552,-0.45856088589531296,7.121875599999999,1233.5999755859375,63.08,52.3036994934082
8.68819,8.82539,8.31376,8.46579,15634700.0,-0.035537848605577516,10.235775666666667,9.57801772782529,38614739.0,-0.5337601778422751,-0.47360074428470544,7.1734780879999995,1253.0,20.66,90.2462387084961
8.45346,8.72183,7.96222,8.10217,13355400.0,-0.028582149151795577,10.122498666666667,9.506261100223659,22980039.0,-0.5373563890271278,-0.48635187323318996,7.22404852624,1253.199951171875,41.3,93.18052673339844
8.14992,8.27232,7.66848,7.82126,13309300.0,-0.042951691454666485,10.016744333333332,9.415674577628586,9624639.0,-0.563056937516377,-0.5016928860898274,7.2736075557152,1249.0,34.27,93.311767578125
7.79183,8.55293,7.73774,8.29479,14565200.0,-0.03467095852098878,9.863563,9.312809121007389,-3684661.0,-0.5991848665319832,-0.5211912821782586,7.322175404600896,1228.699951171875,112.29,76.72159576416016
8.29343,8.47397,7.95981,8.00135,10786400.0,0.06054395327607076,9.765556,9.24713046803917,10880539.0,-0.5828874335210532,-0.5335305124468175,7.369771896508879,1228.699951171875,77.26,40.49593734741211
8.00777,8.0946,7.23651,7.55434,18239900.0,-0.03537642303180677,9.674161,9.16675753461729,94139.0,-0.586884516677495,-0.5442013132929531,7.416416458578701,1228.699951171875,57.8,86.98208618164062
7.52655,7.55182,7.05898,7.39704,17667300.0,-0.05586682247370767,9.560172333333332,9.062730596900044,-18145761.0,-0.618986909273822,-0.5591584324891269,9.702,1238.9000244140625,59.83,80.2722396850586
7.38839,7.96774,7.31969,7.75997,19254500.0,-0.020822467614642792,9.459433666666666,8.955266687422622,-35813061.0,-0.6496325227407578,-0.5772532505394531,9.6526902,1242.199951171875,49.42,80.30467224121094
7.74069,7.91307,7.1664,7.17253,11576000.0,0.04906422028270763,9.329246000000001,8.878150772105034,-16558561.0,-0.6372877182178076,-0.5892601440751241,9.548941792,1249.199951171875,42.37,74.1619644165039
7.20703,7.73096,7.17189,7.45729,8762080.0,-0.07570132358759118,9.179783666666667,8.768110722291807,-28134561.0,-0.6672146352642958,-0.6048510423129585,9.44934332032,1265.5,20.3,105.86102294921875
7.45391,9.3665,7.45391,8.81398,36573300.0,0.03970147214441777,9.02993,8.683541643434271,-19372481.0,-0.6603421670213541,-0.6159492672546376,9.353728787507201,1289.199951171875,54.91,77.53734588623047
8.77508,9.01178,8.43236,8.8465,16713800.0,0.1819280194279691,8.943612666666667,8.691957021277222,17200819.0,-0.5392065048136772,-0.6006007147664456,7.05898,1289.199951171875,45.03,71.83882141113281
8.89424,10.3215,8.85072,10.1632,41019200.0,0.003689593123651358,8.849709333333333,8.701927536033532,33914619.0,-0.4355606554508107,-0.5675927029033186,7.1051304,1289.199951171875,61.59,77.36357116699219
10.1651,10.1651,9.2798,9.31127,21463900.0,0.14883852370994166,8.801852666666667,8.796203178870078,74933819.0,-0.24435709078815826,-0.5029455804802866,7.150357792,1294.699951171875,72.72,99.31861114501953
9.38287,10.0341,9.26752,9.41377,17622400.0,-0.08382497638539033,8.724951666666668,8.829433296362332,53469919.0,-0.15972925988963382,-0.43430231636215605,7.277203480320001,1290.699951171875,45.4,71.12875366210938
9.39673,10.046,9.29212,9.8261,18296200.0,0.011008165373788792,8.666834,8.867132438532504,71092319.0,-0.08342848912993794,-0.3641275509157125,7.3989753411072,1273.300048828125,44.1,104.36856842041016
9.80961,9.95219,9.03701,9.34664,21510600.0,0.043800730206920324,8.646434000000001,8.929001313465893,89388519.0,0.010194490686117774,-0.2892631425953464,7.515876327462912,1271.4000244140625,34.04,103.82675170898438
9.31565,9.47579,9.2121,9.37051,10806500.0,-0.048794536998402194,8.601808666666667,8.95594574485519,67877919.0,0.04518213024928386,-0.22237408802642036,7.628101274364396,1292.9000244140625,31.3,79.36795043945312
9.3729,9.5975,8.92686,9.48293,15031000.0,0.0025538589268441214,8.578502333333335,8.982691825832276,78684419.0,0.07398336204094491,-0.1631025980129473,7.7358372233898205,1292.9000244140625,46.71,54.57969665527344
9.49404,9.64116,9.2037,9.29773,13085300.0,0.0119972125316552,8.570613666666667,9.014965256423743,93715419.0,0.10467329165502726,-0.10954742007935238,7.839263734454228,1292.9000244140625,57.56,22.33191680908203
9.28265,9.47902,9.26136,9.36152,9321790.0,-0.019529828860911147,8.575517333333332,9.033208143106084,80630119.0,0.1127514611058924,-0.06508764384230344,7.938553185076059,1265.5999755859375,59.73,100.38084411621094
9.43143,10.0119,9.38926,9.99628,15267500.0,0.006860814413840899,8.58969,9.054389553228273,89951909.0,0.1228842552784375,-0.02749326401815525,8.033871057673016,1263.9000244140625,62.97,72.8036880493164
9.99511,10.5063,9.85641,10.0578,24137700.0,0.06780522821080326,8.634773,9.115156678826448,105219409.0,0.1800587891141543,0.014017146608306656,8.125376215366096,1274.5999755859375,54.4,113.59468841552734
10.0623,11.0528,10.0184,10.5066,31276900.0,0.00615428939565521,8.721956,9.175972376966678,129357109.0,0.2277092781408374,0.056755572914812806,8.213221166751453,1270.300048828125,50.82,101.35812377929688
10.5051,10.615,9.80792,10.2397,18808000.0,0.04462208435244297,8.804028666666666,9.261819320388184,160634009.0,0.29824901423705974,0.1050542611792622,8.350805896746365,1271.9000244140625,59.77,88.21751403808594
10.2386,10.4445,9.92642,9.96235,9218400.0,-0.02540307996878166,8.865777333333334,9.324908396492173,141826009.0,0.328825171984958,0.14980844334040136,8.566965425006655,1271.9000244140625,31.04,45.949867248535156
9.9687,11.4403,9.9687,11.1713,29079900.0,-0.027085754465462686,8.923096333333332,9.366033661234614,132607609.0,0.32690876940015023,0.18522850855235112,8.765832191006123,1271.9000244140625,99.03,72.96404266357422
11.1932,12.487,11.1526,12.1988,37198700.0,0.12135188986534295,9.008489666666666,9.482502457283994,161687509.0,0.41812231416248125,0.23180726967437715,8.948789615725632,1273.4000244140625,82.79,66.86859893798828
12.1793,14.259,12.1793,13.5586,65389900.0,0.0919767618808911,9.104813,9.657747460039866,198886209.0,0.5667868029174414,0.29880317632299,9.197940654153069,1276.199951171875,51.62,88.40447235107422
13.5428,14.8728,13.3376,14.7697,53757500.0,0.11146998065383484,9.255566333333332,9.909415365843747,264276109.0,0.7852767949286754,0.39609790004412715,9.5926277756547,1273.699951171875,32.08,92.40077209472656
14.8532,15.0482,13.3842,13.6356,50544100.0,0.08932338147006336,9.457393666666666,10.222982116434475,318033609.0,1.0441213551092314,0.525702591057148,10.245919887063042,1254.199951171875,58.53,73.92061614990234
13.6897,14.0512,13.119,14.015,24648400.0,-0.07678558129142776,9.629720666666666,10.44315101214838,267489509.0,1.1445514651639765,0.6494723658785138,10.986220705132956,1252.4000244140625,25.94,115.90248107910156
14.0405,14.3464,13.7658,14.2861,17938900.0,0.02782422482325675,9.826815,10.673592882332356,292137909.0,1.2404582298488762,0.7676695386725864,11.717376978209023,1252.4000244140625,54.62,83.91305541992188
14.2798,14.4924,13.1922,13.4615,23842800.0,0.019343560470924004,10.042309666666666,10.906657857665753,310076809.0,1.323088792153582,0.8787533893687856,12.316925122131398,1252.4000244140625,113.01,104.1688003540039
13.3054,13.7743,12.0141,12.7323,41560600.0,-0.057720441548078205,10.214533333333334,11.07148638297764,286234009.0,1.306969844760932,0.9643966804472148,12.808554600147746,1251.0999755859375,141.68,121.707763671875
12.7932,12.8984,11.7666,12.526,27444700.0,-0.05416929762656453,10.372231666666666,11.178635648591987,244673409.0,1.2212769960087293,1.0157727435595176,15.0482,1228.9000244140625,66.06,86.67697143554688
