Date,Open,High,Low,Close,Volume,Pct_change,MA,EMA,OBV,MACD,Signal,PSAR,gold_close,EPU,GPRD
2016-04-01,414.816,418.369,414.816,416.779,59758510.41666666,-0.003837057135653521,416.56626666666665,416.6129067621042,1588978454.9546654,0.9584293207365135,0.8988088728962758,402.4053985360108,1234.199951171875,36.42,131.27745056152344
2016-04-02,416.729,418.173,415.831,417.822,53367835.06944445,0.00460870592262097,415.95553333333334,416.6236224548717,1648736965.3713322,0.7950916367120158,0.8780654256594238,403.46106259457036,1222.199951171875,30.46,156.7049102783203
2016-04-03,417.96,422.081,417.96,420.829,47537003.48432056,0.0025025253191739427,415.73066666666665,416.7009371352026,1702104800.4407766,0.7412619225992785,0.8507047250473948,404.47450009078756,1222.199951171875,61.05,88.50371551513672
2016-04-04,420.873,421.58,419.697,420.861,33961565.73426574,0.007196844589322682,415.70773333333335,416.96726377164117,1749641803.9250972,0.930514859717789,0.8666667519814737,405.44740008715604,1222.199951171875,100.09,105.79058837890625
2016-04-05,420.904,422.343,419.601,421.486,40742629.92957746,7.60403869504156e-05,416.02556666666663,417.21847256056753,1783603369.659363,1.0707385015090267,0.9074811018869844,406.3813840836698,1218.0,38.89,113.1427230834961
2016-04-06,421.444,424.257,420.614,423.994,53637693.26241135,0.0014850508837835896,416.7136,417.4937969114987,1824345999.5889404,1.2182557308154287,0.9696360276726732,407.278008720323,1228.4000244140625,25.71,89.26080322265625
2016-04-07,424.03,424.527,422.729,423.256,59337751.219512194,0.005950375575938471,417.25983333333335,417.9131648526924,1877983692.8513517,1.5200170274991933,1.0797122276379774,408.1387683715101,1222.5,36.17,101.51417541503906
2016-04-08,423.413,423.657,420.518,422.649,53284911.14982578,-0.0017405906687359973,417.5523,418.2578638944542,1818645941.6318395,1.680245769601811,1.199818936030744,408.96509763664966,1236.199951171875,28.9,93.87843322753906
2016-04-09,422.745,425.361,419.635,420.25,56822006.29370629,-0.0014341202487382354,417.83903333333336,418.54116299803786,1765361030.4820137,1.738211356495924,1.3074974201237801,409.75837373118367,1242.5,30.25,46.477352142333984
2016-04-10,420.349,420.891,416.515,419.342,54011850.52264808,-0.00567610475832192,418.0207666666667,418.6514105465516,1708539024.1883075,1.572444094301943,1.3604867549594128,410.5199187819363,1242.5,19.81,44.5455322265625
2016-04-11,419.411,422.435,419.257,421.512,55489735.31468532,-0.0021606186793575732,418.0947333333333,418.69596470483856,1654527173.6656594,1.3522168194284632,1.358832767853223,411.25100203065887,1242.5,66.3,69.59175872802734
2016-04-12,421.564,422.739,420.533,422.376,60633932.98611111,0.005174773812306022,418.0927333333333,418.87764440130064,1710016908.9803448,1.33736961752561,1.3545401377877004,411.9528419494325,1256.699951171875,101.11,95.73894500732422
2016-04-13,422.483,427.277,422.483,425.334,56607360.06944445,0.0020497637077947495,418.4454,419.1033447625071,1770650841.966456,1.3794195919033996,1.3595160286108405,412.6266082714552,1259.4000244140625,34.46,79.82090759277344
2016-04-14,425.19,426.658,422.916,423.764,66312944.94773519,0.007003238820387558,418.81986666666666,419.5053225197647,1827258202.0359004,1.6326106591008624,1.414134954708845,413.273423940597,1246.800048828125,37.74,97.70214080810547
2016-04-15,423.734,425.371,423.013,424.155,55218203.81944445,-0.0036912167849266764,419.06596666666667,419.7800759055864,1760945257.0881653,1.6871323139238825,1.4687344265518527,413.8943669829731,1225.0,21.42,96.78153228759766
2016-04-16,424.282,429.928,424.282,429.751,45294543.05555555,0.0009226833803719359,419.3144,420.06232907296794,1816163460.9076097,1.7418130142675636,1.523350144094995,414.4904723036542,1233.0999755859375,52.17,86.41481018066406
2016-04-17,429.713,432.625,428.984,430.42,43754109.40766551,0.013193290188728168,419.7368333333333,420.6874046166474,1861458003.9631653,2.2112088562545864,1.6609218865269133,415.062733411508,1233.0999755859375,82.72,55.63744354248047
2016-04-18,430.572,431.371,426.079,427.268,43374111.538461536,0.0015567154003133243,420.06236666666666,421.31531399621855,1905212113.3708308,2.607137691358389,1.8501650474932085,415.95464940681757,1233.0999755859375,127.3,64.11421203613281
2016-04-19,427.399,429.274,427.086,428.521,49539304.16666666,-0.0073230797825381,420.65009999999995,421.69935825452706,1861838001.8323693,2.636185779358641,2.007369193866295,417.28827745427213,1233.5999755859375,63.08,52.3036994934082
2016-04-20,428.591,436.02,428.104,435.553,45999172.222222224,0.002932585637117846,421.25016666666664,422.13946417358983,1911377305.999036,2.728856665633998,2.151666688219836,418.5152152579304,1253.0,20.66,90.2462387084961
2016-04-21,435.509,443.054,434.406,441.368,61871007.66550522,0.016409930901869485,421.9682666666667,423.00485358174535,1957376478.2212584,3.331321244161529,2.3875975994081746,419.64399803729594,1253.199951171875,41.3,93.18052673339844
2016-04-22,441.389,450.548,440.952,449.306,64274105.55555555,0.013350843640153931,422.9037333333334,424.18957270550374,2019247485.8867636,4.229248520852252,2.75592778369699,421.28159823356634,1249.0,34.27,93.311767578125
2016-04-23,449.425,449.81,444.15,445.67,64649432.63888889,0.017984992115422926,423.9466666666667,425.80998736966484,2083521591.4423192,5.51778700235235,3.3082996274280623,423.8942864455384,1228.699951171875,112.29,76.72159576416016
2016-04-24,445.737,450.223,444.331,450.146,46811597.90940767,-0.008092480403110502,424.8686666666666,427.0912785071058,2018872158.8034303,6.17439365307348,3.881518432557146,427.62580634316305,1228.699951171875,77.26,40.49593734741211
